用户名       ,时间                  ,问题内容,答案内容
ntcwer    ,2025-02-26 10:23:18 ,如果你是彭乐，面对宇文泰告诫兔死狗烹，以金银财宝收买放行，你会怎么做？,当然是抓了宇文泰，交给高欢处置，后边有啥事再说。 作为大将放走敌人头目，这怎么也说不过去。。。。。。也就演义里，关羽放了曹操，但是彭乐和高欢的关系，肯定没到关羽和刘备的程度，所以放走宇文泰是在作死。
ntcwer    ,2025-02-25 11:12:06 ,有哪些适合在安卓手机上，跑ARM版Windows的虚拟机APP？,我记得只有pixel 6系列可以，这部手机的Android 13版本支持kvm，因此可以用kvm来跑ARM版Windows 11。 其它的不清楚，大部分都不支持，就算能跑运行效率极低。 除此之外一部分骁龙芯片的手机可以刷入Win11 arm版，体验也比虚拟机要好，但是由于驱动不是都支持，因此支持程度不同。
ntcwer    ,2025-02-25 09:17:56 ,文明7为什么没有中世纪？,这就是我不怎么玩文明7的原因，割裂感太强。 政权更迭的路线总感觉少些东西，只能看后续更新有没有变化。
ntcwer    ,2025-02-24 10:43:56 ,在你玩过的恐怖游戏中，有哪些真正让你感到恐惧的场景？,晚上关灯戴耳机玩的寂静岭1，场景是学校，虽然画面不吓人，但是怪出现时收音机的响声再加上游戏音效。。。。。。吓得我直接开灯玩，不然感觉黑暗中有怪物在靠近，身体也是感觉体温在不断下降，像见了鬼似的。
ntcwer    ,2025-02-24 10:27:29 ,作为殖民大国，近代法国海军为什么远远被德二甩在身后，只能去和奥匈意大利玩澡盆争霸?,法国海军对付殖民地就够用了，至于和英国争霸，他们没这个能力。拿破仑时期曾经努力过，但是战败了。普法战争后至一战前英法基本上算穿一条裤子，法国由于和德国接壤，那么军事工业重心会放在陆军上，海上的威胁交给英国海军处理，法国海军作为辅助。 德二不一样，海军要挑战英国的霸权，那么海军是对标英军发展的，所以在拼命下饺子。
ntcwer    ,2025-02-24 10:20:04 ,是否是北方汉人中基本没有五胡后人？为什么？,有部分胡人是因为古代没有民族概念，汉人是文化认同，那么一部分胡人本身就是汉族，只不过文化与中原有异，被列入胡人范畴。这些人在胡人乱华时，回归然后重新汉化变为汉人。 除此之外，部分胡人与汉人通婚，再加上我国北方战事、天灾频繁，胡人血统最终被稀释殆尽。
ntcwer    ,2025-02-24 09:50:12 ,二战开战前日本海军对于伊势级和扶桑级的定位到底是什么？,扶桑级是（日本）国产超无畏舰，在刚建成时是当时世界上排水量最大、速度最快的战舰，到二战前就落伍了。伊势级是扶桑级的改进型，这两级战舰因为设计有缺陷只能当训练舰用，伊势级待遇稍微好点，经常用来测试雷达、防空等新设备，后边改造成航战，但是没有飞机使用。 打杂是金刚四傻的事情，长门级和大和级属于最终决战兵器，一般不使用，这两级战舰确实有些鸡肋。
ntcwer    ,2025-02-21 09:04:22 ,Windows 12 Alpha Build 内测版的桌面壁纸哪里下载？,win12没有泄露的镜像，所以无法提取系统自带壁纸。 你可以试试用ai抠图。
ntcwer    ,2025-02-21 08:49:49 ,引发“苏峻之乱”的庾家为什么没事似的？凭什么列入“王谢桓庾”？,因为庾家也是世家大族，仅次于王谢桓三家，所以放在一起没啥问题。 王家亲自下场搞过王敦之乱，桓家也一样搞过桓楚，庾家引发苏峻之乱算小儿科了。但是以上事件不影响他们是世家大族。
ntcwer    ,2025-02-20 10:01:32 ,为什么很多人会害怕蜘蛛，但是不害怕螃蟹？,螃蟹可以吃，哪怕夹了你，你还是会蒸了它，所以不怎么感到可怕。当然放一只钳子巨大的海蟹，那还是会怕，毕竟规避伤害是生物本能。 而对蜘蛛的恐惧，可能还是怕蜘蛛咬人，一般也是后天形成的。
ntcwer    ,2025-02-20 09:30:04 ,在阿里、腾讯、华为云上，为什么大部分人基本上都是选择Linux镜像，而非Windows镜像？,一般还是按使用需求选的，可能Linux发行版更适合他们的使用场景。 再加上Linux发行版都是开源的，有不同的版本可以选择，Windows server选择余地就小很多。 我单位使用云端服务器是一半对一半，有些服务部署在Linux环境里，有些部署在Windows上。
ntcwer    ,2025-02-19 14:21:32 ,哪吒 2 里的石矶娘娘是什么种类的石头？从最后的小石头「东山再起」需要多久？,《封神演义》里说的是顽石。顽石就是非常坚硬的石头，泛指金刚石、玉石、宝石、钻石之类的石头。 \u200c 金刚石 \u200c：大部分金刚石主要形成于33亿年前以及12-17亿年这两个时期。有些金刚石的年龄甚至可以达到45亿年左右\u200c。 \u200c 玉石 \u200c：玉石的形成时间跨度较大，可以从几百万年到几千万年不等。玉石的形成通常与岩石的风化和沉积作用有关，这些过程需要长时间的地质作用和自然侵蚀\u200c。 \u200c 宝石 \u200c：宝石的形成时间也因种类和成因不同而异。例如，红宝石和蓝宝石等宝石级刚玉的形成时间可以追溯到几百万年到几千万年前，它们通常在岩浆活动中结晶形成\u200c。 \u200c 钻石 \u200c：钻石（即金刚石）主要形成于地球的地幔层，深度大约在150-200公里处。钻石的形成条件非常严格，需要在1100到1500摄氏度的高温和4.5到6Gpa的高压下形成。大部分钻石形成于20亿至30亿年前，有些甚至可以达到45亿年左右\u200c 那东山再起是遥遥无期了，可能这系列电影拍完都没法再次出镜。。。。。。。除非她能穿越时空。 不过这个石矶娘娘有点像。。。。。。隔壁魔兽世界里的石母塞拉赞恩。。。。。。
ntcwer    ,2025-02-19 09:10:16 ,如果你的天花板上漏了一个洞，你会怎么样？,从楼上单位掉下一个人。。。。。。 结果是砸坏电脑，可以下班了。。。。。。
ntcwer    ,2025-02-19 09:08:36 ,能帮忙确认一下这是蟑螂吗?,是，这就是蟑螂（德国小蠊）。
ntcwer    ,2025-02-19 09:07:28 ,高澄的诸子为什么没有像阖闾对帝位另有企图？,因为高湛“以史为鉴”，在高洋时就害死高浚、高涣，高淹也有说法是被高湛毒死的。 然后在位时整死了高孝瑜、高孝琬、高绍德、高百年等人。 这几波操作后，基本上为高纬当皇帝扫清障碍，阖闾之事就成不了。。。。。。
ntcwer    ,2025-02-18 09:40:08 ,《全面战争》系列中，哪一款比较适合新手？,罗马全面战争1，甚至不需要买重制版，亚历山大的dlc也无所谓，本体+蛮族入侵足够了。 主要是上手简单，非常适合喜欢玩骑兵大规模冲锋的，而且有些阵营有卷镰战车，自动流无敌。另外mod也不少，可玩性都挺高。 其次是中世纪2全面战争，虽然面对蒙古和帖木儿入侵可能有些棘手，但是玩法更多，而且有火器。mod也是非常多。
ntcwer    ,2025-02-18 08:53:23 ,怎么评价曹睿之妻郭太后协助司马家族抹黑曹芳曹髦?,郭太后也没办法，甚至这些抹黑的内容也不是她写的，她只负责宣布。如果不去抹黑，她自己就可能被废，而换了皇帝后，她依然是太后，享有原来的地位，司马氏还能给她点面子。在生命和利益面前，她真的没办法。
ntcwer    ,2025-02-18 08:47:56 ,南京幕府山达摩古洞在2016年开发建设景区之前是什么样子的？,不清楚 那时候的幕府山还是个荒山，由于过度开采，整个山体显得很突兀，像被什么切了一半的感觉。 反正小时候没怎么去那边，只能在远处看着。
ntcwer    ,2025-02-17 10:18:53 ,《天国：拯救2》里通常会把食材放到一口大锅里炖煮，这种做法是当时中世纪欧洲人的饮食习惯么？,是 这种炖煮属于最基础的烹饪方式，在中世纪时期各国都会使用（包括我国）。主要就是方法简单，找个陶罐、大锅等可以装大量食材和水的器皿，然后烧火放上边炖煮，根据熟透的时间依次放入食材，最后就煮出一锅杂烩汤，每人也容易分配，然后人们可以就着面包等面食吃，有汤也容易下饭。
ntcwer    ,2025-02-17 09:46:34 ,如果司马颙不杀魔将张方，能否守住关中保命？,守不住，主要是司马颙打不过司马越。 另外也有其它原因使司马颙不得不杀张方。 1.张方行为太出格，对晋惠帝态度也不好，这样也导致其它诸侯王不满，司马颙也会得不到其它诸侯王的支持，杀张方可以缓和一些。 《晋书·卷六十·列传第三十》：方在洛既久，兵士暴掠，发哀献皇女（司马女彦）墓。军人喧喧，无复留意，议欲西迁，尚匿其迹，欲须天子出，因劫移都。乃请帝谒庙，帝不许。方遂悉引兵入殿迎帝，帝见兵至，避之于竹林中，军人引帝出，方于马上稽首曰：“胡贼纵逸，宿卫单少，陛下今日幸臣垒，臣当捍御寇难，致死无二。”于是军人便乱入宫阁，争割流苏武帐而为马帴。方奉帝至弘农，颙遣司马周弼报方，欲废太弟，方以为不可。 《资治通鉴·晋纪七》：河间王顿军于郑，为东军声援，闻刘沈兵起，还镇渭城，遣督护虞夔逆战于好畤。夔兵败，惧，退入长安，急召张方。方掠洛中官私奴婢万余人而西。军中乏食，杀人杂牛马肉食之。 由上文可见，这张方就不是人。。。。。。 2.某些说法也导致司马颙生疑。 《晋书·卷五十九·列传第二十九》：方谓颙曰：“方所领犹有十余万众，奉送大驾还洛宫，使成都王反邺，公自留镇关中，方北讨博陵。如此，天下可小安，无复举手者。”颙虑事大难济，不许。 司马颙会怀疑这张方手握重兵脱离控制，是不是想自立。 不过司马颙杀了张方，也加速了败亡。不杀的话，各地诸侯依然不满，甚至内部也很难稳定，只要有人打着勤王的旗号，司马颙很难招架。
ntcwer    ,2025-02-17 09:01:57 ,为什么三国无双起源中袁术的人设没有像张角、董卓等人大改，而是成为了唯一的小丑？,袁术无论在正史还是演义里都是小丑。。。。。。 虽然手上牌面不是顶尖的，但是不至于打得稀烂，结果他还真做到了。 比起张角和董卓，袁术真的啥都展不开，各种下饭操作，最后也死得也挺滑稽。。。。。。所以没啥可大改的。
ntcwer    ,2025-02-15 19:29:53 ,大脑有褶皱是为了增加表面积，那核桃仁为什么会进化出皱纹？,问了copilot，它的回答是：核桃仁的皱纹实际上是其种子的表皮结构。这种复杂的表皮结构不仅增加了种子的表面积，有助于吸收更多的水分和养分，还能在坚硬的核桃壳内提供更多的保护，以避免外界的物理损伤和虫害。这种结构是通过自然选择逐渐进化出来的，以帮助核桃更好地适应环境并成功繁殖。这种皱纹状的表面可能也有助于分散和传播种子，因为其独特的形状和质地可能会吸引一些动物，将种子带到新的地方。 很明显这是一种适应环境的演化策略，但是也不排除有人工培育的因素。 这也是某种意义上的趋同进化（趋同进化即源自不同祖先的生物，由于相似的生活方式，整体或部分形态结构向着同一方向改变。），核桃与人的脑壳环境有些类似，坚硬的外壳就像头骨，虽然不是一个概念上的东西，但是创造出了类似的环境，因此核桃仁和人脑出现了趋同的特征，这也印证了大部分生物有个共同祖先。
ntcwer    ,2025-02-14 11:12:40 ,美总统特朗普宣布对美贸易伙伴征收「对等关税」，此举影响有多大？对哪些国家和地区影响较大？,实际还是想向我国加征关税，对其它国家加征那是为了掩饰，然后执行日期能一拖再拖。 这样无论哪样都会对美国有利，他这个还是商业思维。
ntcwer    ,2025-02-14 10:54:31 ,为什么现在的手机又拍不清楚月亮了？,我用小米14U拍过月亮，因为拍照时手会抖，所以拍不清楚，直拍的最好是下边这张。 也用超级月亮模式拍过。 当时直拍是这个样子。。。。。。这是奥特曼要出来还是咋的。。。。。。 用了超级月亮模式下好了些。
ntcwer    ,2025-02-14 10:26:22 ,驱逐舰尾部的直升机甲板是否可以承载垂直起降战机？,首先承载没啥问题。 但是驱逐舰的尾部直升机甲板空间还是太小，下方也无法增加机库，因此载机量就很成问题。 就算甲板上只放1-2架战机，驱逐舰在高速航行时，垂直起降战机无论起飞还是降落都有危险，尾焰温度一般甲板也扛不住，改装的话，费用咋办，关键就靠几架战斗机也形成不了战力，垂直起降战机的航程也受限。 这种半航母半战舰的设计基本上都不伦不类，不如分开去搞航母和导弹驱逐舰了。
ntcwer    ,2025-02-14 09:58:25 ,为什么在国内的网站很少听到日韩伪史论，东南亚伪史论，印度伪史论或波斯阿拉伯伪史论？,因为伪史高皇帝福缅科看不上这些地区，而传统伪史论的所有论点和方式都可以追溯到这位高人的头上。 在他的大作里西方伪史论只是一部分，还包括东方伪史论。古埃及、古希腊、古罗马和古代中国属于树大招风，他对这些古文明证伪，是为了证明文明发源自俄罗斯，只有俄罗斯是真正的古文明。。。。。。 也正是因为这样，传统伪史论只会倒腾西方伪史论（以古埃及、古希腊、古罗马等为主）和东方伪史论（以中国为主），不怎么提俄罗斯、日韩、东南亚、印度、波斯、阿拉伯等这些地区。。。。。。因为超纲了和不能反对自己祖宗。。。。。。 但是随着国内政治、经济、军事发展，民族主义开始兴起，在这个大环境背景下伪史论也开始进化了，开始顺着高皇帝的思路，向中国是唯一古文明，是最强国家发展。因此日韩伪史论，东南亚伪史论，印度伪史论和波斯阿拉伯伪史论等也开始出现了，而且越来越离谱。。。。。。
ntcwer    ,2025-02-14 09:29:06 ,“人类历史大部分时间中国都是世界最强的国家”有哪些时期中国不是世界上最强的国家呢？,朝代末期和分裂时期不是。 然后整体上是安史之乱以后开始走下坡路，宋和明中兴以后，开始衰落，直至鸦片战争打开国门。
ntcwer    ,2025-02-13 09:38:39 ,假如没有土木堡之变，朱祁镇会得到怎样的评价？,估计也不会太好，大权会逐渐落入王振这个宦官手里。 朝政会继续乌烟瘴气。
ntcwer    ,2025-02-13 09:29:13 ,2025年安卓手机配置是否可卷4k屏幕了？,像我用的小米14u，屏幕分辨率是3200x1440，已经很接近索尼Xperia1系列的4k分辨率3840x1644。 感觉上4096x2160或者3840x2160也不是不可以，电池可以加大到7500mah。毕竟当年Lumia 950xl都用上了2k屏（5.7英寸，分辨率：2560x1440），现在旗舰机在屏幕上做点文章也是可以的。
ntcwer    ,2025-02-13 09:08:15 ,假设刘备真的复兴汉室，汉朝再续命200，汉朝在中国历史上会有何等地位？,我觉得我国国号会变成汉国，曹氏一族的脑袋和王莽一起在国库里放着。 隋朝不是杨坚篡位，而是杨坚称宇宙大将军（参考日本的征夷大将军），对外称大隋国王，大汉皇帝变成像日本天皇或者周天子那样。后边朝代延续这种称法，大汉皇帝继续做虚君，下边无论乱成啥样，汉朝皇帝依然很稳。
ntcwer    ,2025-02-12 19:33:22 ,秦国的秦弩碰上亚历山大的马其顿方阵，谁会赢？,游戏里试了下，长枪兵被弩兵克制，完全不是对手。 现实没这可能，双方不会傻到用单一兵种去对阵。
ntcwer    ,2025-02-12 10:05:41 ,相信欧美人偷了永乐大典，才发明了现代科技这种言论，并且对不相信的人扣上恨国党帽子的人，上过初中吗？,初中肯定上过，因为有九年义务教育。 但是初中成绩和后边上的什么学就不知道了。
ntcwer    ,2025-02-12 09:39:03 ,如果人类可以和动物对话，世界会变成怎样？,没啥太大变化，毕竟不能让狗来做工作，我去玩。 当然养它们会更容易一些，至少可以知道它们需要什么。
ntcwer    ,2025-02-12 09:35:32 ,oppoA3和A3X哪个性能更胜一筹  各有什么缺点？,骁龙 695（a3）和天玑 6300（a3x）性能上差距不大，性能上695好一些，gpu上6300好一些。 感觉这两手机整体上都属于入门机范畴，a3配置要好，但是比同价格的中端机或者过气旗舰要差不少，a3x价格便宜。 看对比的话可以去oppo官网： 机型对比 | OPPO 官方网站 内存上a3好一些，a3x稍弱：（左边是a3x，右边是a3） 重量上a3也更轻：（左边是a3x，右边是a3） 显示上也是a3更好：（左边是a3x，右边是a3） 拍照上也是a3更好一些：（左边是a3x，右边是a3） 如果真要买，一般建议a3。
ntcwer    ,2025-02-11 09:37:26 ,以色列国防军宣布，从去年10月7日到现在他们一共打死了18000哈马斯，这数字有水分吗？可信度多高？,估计有部分妇女儿童算在里面了，毕竟哈马斯就躲在居民区，一炸弹轰上去谁知道炸死的有啥，都碎一块了。
ntcwer    ,2025-02-11 09:29:32 ,为什么《哪吒2》里面申小豹明显是花豹，而他的父亲和大哥都是黑豹?,黑豹和花豹没有生殖隔离，可以有后代，后代也有可能是花豹或者黑豹，黑豹相当于异色花豹。 猎豹和花豹关系太远了，猎豹就当是一种叫豹的猫，所以和花豹有生殖隔离。
ntcwer    ,2025-02-11 09:20:15 ,诸葛亮去世，刘禅没哭？陈祗去世，他真的是唯一为臣死而哭泣？,大概是诸葛亮死后，还有蒋琬、费祎、董允等人，刘禅处理政务时也不至于束手无策。 陈祗死后，所有的重担全刘禅挑了，真的没啥人来分担政务了。估计这么写是为了说明蜀汉人才凋零。 至于诸葛亮死后刘禅没哭，大概是躲在宫中哭了，外臣不知道，史书也就没记载。或者说在诸葛亮去世前，刘禅已经哭过了，去世时和之后反而很平静。（我怀疑是大脑的保护机制，让你不至于崩溃到摧毁自己，我在亲人去世前后有类似的经历）
ntcwer    ,2025-02-11 09:03:21 ,在古代，如果妃子在侍寝的时候把自己拔凉的脚放皇帝那里会发生什么？,这要看皇帝脾气了。 脾气好的，最多说一句，然后继续造人。。。。。。 脾气稍微差点，拖出去打一顿。 脾气很暴躁的，估计会做成冰雕，让你冰个够。。。。。。
ntcwer    ,2025-02-11 08:59:46 ,曹操处决吕布时为何要先将吕布缢死再枭首？,缢死还是看在吕布有爵位，枭首是因为吕布的罪状算反叛，这两点前边很多答主都说了。 另外的原因是，这时候曹操还是汉臣，还不能明目张胆地僭越汉朝法律。而且袁绍、刘表等都还在，做得太出格，就很难“挟天子以令诸侯”了。
ntcwer    ,2025-02-10 12:06:27 ,羊膜动物只有合弓纲和蜥形纲两个分支吗？,是的，只有这两个分支。 合弓纲和蜥形纲有共同祖先，演化出两个分支后，两个分支之间没有过渡物种，但是早期的合弓纲和蜥形纲都有对方的一些特征。
ntcwer    ,2025-02-07 09:03:27 ,如果你穿越为唐僧，在九九八十一难中，你感觉自己哪一关最难过（尤其是你能否扛住女儿国王的诱惑）？,看意识是谁的，如果是唐僧的，那无所谓，就是西游记的剧情。 意识是我的。。。。。。我待在大唐不好吗，跑西天干嘛。。。。。。也就是说这西游记没开始就结束了。
ntcwer    ,2025-02-06 14:59:51 ,寒假期间有哪些适合小学生的户外活动？,我小学时候，到寒假都是裹成粽子出门，然后在大院里玩雪和放鞭炮，不过现在有时候连雪都见不到，鞭炮也只能在部分地方能放，也不好买。 有时候也会跑到公园去玩，也会去爬山，站在山顶看下边城市，南京不缺公园和景点，这个不用发愁。
ntcwer    ,2025-02-06 14:54:22 ,12岁小孩每天把自己关在房间里，没事不出来吃好玩好，现在放假了作业也不做，说什么不喜欢听，该怎么办?,12岁小孩，那可能是因为青春期。 孩子在青春期会叛逆，如果还用老一套的说教方式，很容易让孩子更逆反。 建议还是好好沟通，而且要把自己身份放低到和孩子同辈，要听他说，然后对他遇到的问题进行引导。
ntcwer    ,2025-02-06 10:21:03 ,钟会征伐蜀汉前后，为什么有好多人看出他将会图谋不轨？,钟会的为人处世能力和人际关系太差了，属于是树敌太多，关键司马昭还很重用他，那些人就更嫉妒了。钟会反叛之前，可能这些人只是私下讨论，反了后就全冒出来了，于是说的话收录进史书，搞得好像这些人有先见之明似的。 如果钟会没反的话，那这些人还会有其它的说辞。
ntcwer    ,2025-02-05 10:16:27 ,为什么你回到了古代，让你当皇帝，你会答应吗？,我去古代当皇帝和去美国当皇帝一样离谱。。。。。。 好的话和王莽一个下场，坏的话容易和希特勒、波尔布特等类人生物坐一桌。。。。。。
ntcwer    ,2025-02-05 09:24:53 ,为什么有人认为加沙战争（2023.10.7巴以冲突）并没有真正的赢家？,哈马斯被打残，但是没能彻底消灭。 黎巴嫩的真主党也是被打残，没能彻底消灭。 以色列也没能吃下加沙地区。 反正是中东打得一团乱遭。。。。。。谁都没得到好处，后边还会接着乱。。。。。。
ntcwer    ,2025-02-03 13:28:36 ,有哪些蜥蜴的品种很温顺？,我没养过蜥蜴，不过接触过的蓝舌石龙子和中国石龙子都很温顺，壁虎是有的温顺，有的比较凶。 可能孟加拉巨蜥也很温顺吧，不然印度人不会把它当成三嫂。
ntcwer    ,2025-02-01 13:30:19 ,一个涵盖了伊比利亚半岛、法兰西(含瓦隆)、意大利的统一国家(类似西罗马)应该如何制定“普通话”?,拿破仑时的法国应该是最接近这个疆域的，官方的“通用拉丁语”是法语，地方还是用方言，也就是意大利语、西班牙语等这些。 至于现在，估计会用英语。当然现在欧洲很难统一，没分得更碎就不错了。
用户名       ,时间                  ,问题内容,答案内容
ntcwer    ,2025-04-01 12:41:34 ,如果不用公元纪年法，你想用谁的出生作为分割点？,地球。。。。。。 现在应该是46（或者45.5）亿年XX月XX日。
ntcwer    ,2025-04-01 11:27:32 ,三国相关有什么旅游景点？,南京的孙权墓（梅花山，明孝陵就在附近）、石头城遗址（清凉山一带，不过现在只能看到明城墙）。
ntcwer    ,2025-04-01 10:09:13 ,魔爪功能饮料到底有多恐怖？,我喝了没啥感觉，该睡觉还是睡觉，大概可乐喝多了。。。。。。。对这类饮料免疫了。。。。。。
ntcwer    ,2025-04-01 09:18:08 ,为什么现在的人觉得自己穿越回古代，手握70万兵马，就能推翻皇帝？,没啥，就是梦里啥都有。。。。。。。因为都没有真的打过仗，以为打仗和游戏一样，实际上的指挥水平可能就是个某嗨。。。。。。
ntcwer    ,2025-04-01 08:57:35 ,为什么赵匡胤篡位，就不走称王、监国、假节假黄钺、九锡、剑履上殿那一套流程了？,时代变了，原来可能还要做个样子，自从朱温篡唐后，这套行为艺术已经用不着了，不如直接登基。 另外赵匡胤是军队拥戴，直接黄袍加身的，也来不及走流程，花时间走流程就换人了。
ntcwer    ,2025-03-31 14:18:03 ,为什么大家都不玩《绝地求生》了?,我只保留荒野行动，因为可以自己建房间，然后打机器人玩，不管怎样都能吃到鸡。虽然无聊点，但是有时候可以作为消遣。 绝地求生竞技性太强了，人根本打不过，连当做一种消遣都难受，落地成盒体验太差。。。。。。
ntcwer    ,2025-03-31 11:08:00 ,网传台湾渔民捕捞到一头三米长的儒艮，此前在我国「功能性灭绝」的儒艮「打赢复活赛」了吗？,这是好消息，说明儒艮还在这片水域繁衍生息，只是族群数量不明，如果能够追踪到族群，并且进一步采取保护措施，儒艮还是能真正打赢复活赛的。
ntcwer    ,2025-03-28 08:59:30 ,欧美文明超过东方文明的时间，是大明统治时期，还是大清统治时期？,明代宗朱祁钰（1428年9月11日～1457年3月14日）时期开始超越，节点就是1453年，东罗马帝国灭亡，欧洲的中世纪结束。不过明朝一直和欧洲有联系，因此双方差距没有那么大。 真正被拉大差距是在清朝殖民统治时期。 彻底超越是在甲午战争时期，因为甲午战争把“中体西用”的裤衩子都给扒了。。。。。。
ntcwer    ,2025-03-27 09:36:03 ,如果有位皇帝前半生英明神武，晚年昏招频出却没亡国，他的评价会是如何？,我就想到萧衍和李隆基。 萧衍前期还是英明神武的，后期直接昏庸了，侯景之乱把自己送走，不过梁朝没被送走，还是苟延残喘了很长时间。 李隆基是太经典了，前期开元盛世，后期天宝之乱（安史之乱），李隆基去世后唐朝还是延续了145年左右。 评价的话，可以参考毛主席对2人的评价： 萧衍善摄生，食不过量，中年以后不近女人。然予智自雄，小人日进，良佐自远，以至灭亡，不亦宜乎。“专听生奸，独任成乱”，梁武有焉。 “唐明皇不会做皇帝，前半辈会做，后半辈不会做。”
ntcwer    ,2025-03-27 09:20:05 ,假如我拥有31万特种兵带着穿越到古罗马，能否解决罗马三世纪危机以及逆袭成为皇帝?,罗马帝国全盛时期才能拼凑个30万大军，你直接带31万特种兵，还带现代武器。。。。。。 在那时代，你的大军和燃烧军团没区别。。。。。。。
ntcwer    ,2025-03-27 09:10:15 ,“史万岁”为什么推倒“诸葛亮”的纪功碑？,这感觉像史万岁为了平定南中叛乱而编出来的故事。。。。。。 诸葛亮之前就平定过南中叛乱（七擒孟获），而且这故事在南中可能流传很久了。 史万岁把诸葛亮搬出来，是想震慑一下南中的叛乱分子，如果他们畏惧的话，史万岁平定也能容易些。 至于这石碑。。。。。。就是个道具，上边写啥不重要，只要把史万岁和诸葛亮联系上目的就达到了。
ntcwer    ,2025-03-27 08:58:21 ,古代没有修正带和涂改液，那他们写错字怎么办？,竹简上的错字可以用刀刮掉，然后再写。 纸头上那就直接涂黑，在后边写，或者用其它材料（比如雌黄）覆盖在上边。 实际和现在的涂改方法差不了多少。
ntcwer    ,2025-03-26 10:45:37 ,晚上手机忽然收到地震报告，应该做什么?,像我家住南京的，基本上都是看下，因为南京不在断裂带上，因此不太会有大地震，地震是有，一般震级也不大。 有次山东的地震（2023年8月6日02时33分在山东德州市平原县（北纬37.16度，东经116.34度）发生5.5级地震）把我惊醒，我看到5.3级（当时报的是5.3级）都懵了，准备直接跳窗（1楼，外边是草丛）到空旷地带，然后一看震中在山东，就继续睡了。。。。。。
ntcwer    ,2025-03-26 10:12:02 ,在古今中外的历史中，有没有人在天崩开局的前提下，像朱元璋（开局一个破碗）那样把一手烂牌打好的？,东罗马帝国的狄奥多拉皇后 狄奥多拉的父母分别是驯熊师和舞女，而她本人是娼妓。。。。。。这开局足够天崩。 最终成为查士丁尼一世的皇后。 现在有关她的镶嵌画存于拉文纳的圣维塔莱教堂。
ntcwer    ,2025-03-26 09:32:24 ,魔兽争霸3各族有哪些底层设计上无法改变的弱点？,仅限老版本，重制版没怎么玩，后边的更新内容就不太清楚了。 ud：核心英雄只有dk，集火dk就容易被翻盘，另外ud大多是穷死的，开矿比较难，最后只能卖家一波。 人族：我觉得没啥大缺点，综合实力不错，不过前期、1本升2本以及开矿之间防骚扰的压力有些大。 兽族：空军弱，缺少魔法攻击单位，反魔法能力也弱。 暗夜：缺少力量型英雄（有小酒馆问题不大），另外白虎技能太废了，熊要三本才能出来，成型前部队前排抗线能力比较脆弱。
ntcwer    ,2025-03-26 09:23:02 ,古罗马海军是同时代最强大的海军吗？,算，因为古罗马征服迦太基、继业者国家、不列颠等地，海军还是发挥很大作用，不过当时古罗马海军实力还不是最强，有些战役需要陆军的支持，征服那些地区，并且吸收对方海军技术后，至少是欧洲最强的海军。 另外古罗马海军大多在地中海作战，没有和其它地区的海军较量过，所以是不是同时代最强就不清楚了。
ntcwer    ,2025-03-25 14:07:45 ,14 岁男孩遭蜂群攻击，4 名路人挺身而出将其救下，蜂群为何会攻击人？遇到这种情况怎么应对？,这种情况一般是惊扰到蜂群，那就只有跑，跑得越远越好。 别跳河，因为根本就不清楚河水情况，容易因为水位过高淹死或者因为水位过低摔伤。
ntcwer    ,2025-03-25 10:27:10 ,如果二战流行路行舰和巨型飞船，那这两种单位归IJN管还是归IJA管？,为IJN造的就归IJN管，为IJA造的就归IJA管。 螺丝是反着拧的，零件不通用，在战场上见面，双方先互骂对方，然后再说。。。。。。
ntcwer    ,2025-03-25 10:22:34 ,墨索里尼为什么不和克拉拉·贝塔西结婚？,不清楚，大概是已经有妻子和孩子了，外边玩得花点无所谓，但是要结婚就要付出更多，而且墨索里尼情人不止克拉拉·贝塔西这一个，结婚不如继续保持情人关系。 墨索里尼这点和希特勒不同，感情方面玩得非常花。。。。。。
ntcwer    ,2025-03-25 08:54:48 ,大家支持我学生的造山引暖的地理计划及让该动物泛滥全国吗（仔细阅读↓）?,那个。。。。。。还是在长城上贴瓷砖吧，好歹有点可行性。。。。。。
ntcwer    ,2025-03-21 11:34:16 ,不说地名，用一句诗证明你是哪个省的？,“残花旧宅悲江令，落日青山吊谢公。” 一个地名都没有出现，但是江令（江淹，字文通。南朝政治家、文学家），谢公（谢安），这两人一出现，再加上南朝和东晋，那么总会想起一个一比吊糟的地方。。。。。。 这句诗出自韦庄的《上元县》，上元县，是南京自唐朝起下辖的一个县，上元也是唐朝时期南京的称呼之一。上元县与江宁县同城而治，同为南京的母县，于1912年（民国元年）撤废上元县，并入江宁县。 全文如下： 南朝三十六英雄，角逐兴亡尽此中。 有国有家皆是梦，为龙为虎亦成空。 残花旧宅悲江令，落日青山吊谢公。 止竟霸图何物在，石麟无主卧秋风。
ntcwer    ,2025-03-21 10:15:45 ,魔兽争霸总是报错；这个错误谁见过？谁知道什么意思？怎么解决？,我用win11玩魔兽争霸3（1.26版本和重制版，都没有用兼容性运行）没见过这个错误。 要不你重新下个魔兽争霸3的客户端。
ntcwer    ,2025-03-21 09:25:31 ,魔兽世界11.1的8层地下堡奶萨到底要怎么打？,铜须T被砍了。。。。。。 建议切元素或者增强，然后铜须选奶妈。 当然我没怎么试过用dps，因为dk可以切t，t相对简单点。第二赛季刚开时4-6层用过冰dk，6层时打得已经很勉强，后边的7-8层就改回血dk了。
